ULLL FIR
ULLI_DEL Pulkovo-Delivery
ULLI_GND Pulkovo-Ground
ULLI_TWR Pulkovo-Tower
ULLI_R_APP Pulkovo-Radar
ULLL_APP Peterburg-Approach
ULLL_CTR Peterburg-Control
ULLL_R_CTR Peterburg-Control
ULLL_R1_CTR Peterburg-Control
ULLL_R2_CTR Peterburg-Control
ULLL_R2_CTR Peterburg-Control
ULLL_R3_CTR Peterburg-Control
ULLL_R4_CTR Peterburg-Control
ULLL_SW_CTR Peterburg-Control
ULLL_R5_CTR Peterburg-Control
ULLL_R6_CTR Peterburg-Control
ULLL_AM_CTR Peterburg-Control
ULLL_AR_CTR Peterburg-Control
ULLL_NM_CTR Peterburg-Control
ULLL_MR_CTR Peterburg-Control
ULLL_MO_CTR Peterburg-Control
ULLL_WK_CTR Peterburg-Control
ULLL_W1_CTR Peterburg-Control
ULLL_W2_CTR Peterburg-Control
ULLL_W_CTR Peterburg-Control
ULLL_KT_CTR Peterburg-Control
ULLL_S_CTR Peterburg-Control
ULLL_S1_CTR Peterburg-Control
ULLL_S2_CTR Peterburg-Control
ULLL_S3_CTR Peterburg-Control
ULLL_S4_CTR Peterburg-Control
ULLL_S5_CTR Peterburg-Control
ULLL_SC_CTR Peterburg-Control
RU_NWC_FSS North Western Russia Control
ULAA_TWR Arkhangelsk-Tower
ULAA_APP Arhkangelsk-Approach
ULMM_TWR Murmansk Tower
ULMM_R_APP Murmansk Radar
UUYY_TWR Sivkar-Start
UUYY_R_APP Sivkar-Krug
